Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Metafield: custom.tagline [single_line_text_field],Metafield: custom.key_benefits [list.single_line_text_field],Metafield: custom.best_for [single_line_text_field]
no-age-renewing-hand-cream-anti-age-cream,No-Age* Renewing Hand Cream: Anti Age Cream,"<p>No-Age* Renewing Hand Cream: Anti Age Cream from the ACID INFUSION collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>Apply and massage into the hands until fully absorbed. For best results, apply after washing hands. In wintertime, apply the cream frequently to prevent dry, flaky skin. In the summer, use it as a night treatment to preserve beautiful skin. Apply the cream before manicures, focusing on the contours of the fingernails to nourish and soften the cuticles.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">AQUA (WATER), GLYCERIN, CETEARYL ALCOHOL, CAPRYLIC/CAPRIC TRIGLYCERIDE, GLYCERYL STEARATE CITRATE, ETHYLHEXYL STEARATE, ISONONYL ISONONANOATE, PERSEA GRATISSIMA (AVOCADO) OIL, BUTYROSPERMUM PARKII (SHEA) BUTTER, MANDELIC ACID, ETHYLHEXYL METHOXYCINNAMATE, NIACINAMIDE, PHENOXYETHANOL, ASCORBYL TETRAISOPALMITATE, HYDROXYACETOPHENONE, SODIUM HYDROXIDE, CARBOMER, TETRASODIUM EDTA, ORYZANOL</p>",DIBI Milano,Acid Infusion,"ACID INFUSION, Brightening, Niacinamide",TRUE,Title,Default Title,NO-AGE-RENEWING-HAND-CREAM-ANTI-,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-renewing-hand-cream_1.jpg,1,No-Age* Renewing Hand Cream: Anti Age Cream,active,Targeted acid renewal that refines texture and reveals brighter skin.,"[""Gently exfoliates for smoother surface texture"",""Boosts cell turnover for renewed radiance"",""Refines the look of pores"",""Preps skin for better serum absorption""]",Dull or Textured Skin
no-age-renewing-hand-cream-anti-age-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-renewing-hand-cream_2.jpg,2,No-Age* Renewing Hand Cream: Anti Age Cream,,,,
no-age-renewing-hand-cream-anti-age-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-renewing-hand-cream_3.jpg,3,No-Age* Renewing Hand Cream: Anti Age Cream,,,,
no-age-renewing-hand-cream-anti-age-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-renewing-hand-cream_4.jpg,4,No-Age* Renewing Hand Cream: Anti Age Cream,,,,
no-age-bioactivating-treatment-anti-aging-cream,No-Age Bioactivating Treatment*: Anti Aging Cream,"<p>No-Age Bioactivating Treatment*: Anti Aging Cream from the ACID INFUSION collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>Shake well then use the special vial opener to break the cap where it is marked by the ring and apply to the face and neck before your usual cream, massaging until fully absorbed. Start the treatment with the Anti-Oxidant Solution then continue with the Multi-Corrective Solution.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">AQUA (WATER), POLYSORBATE 20, ASCORBYL TETRAISOPALMITATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, PHENOXYETHANOL, HYDROXYPROPYL CYCLODEXTRIN, HYDROXYACETOPHENONE, RETINOL, SODIUM POLYACRYLATE, GELLAN GUM, XANTHAN GUM, SODIUM METABISULFITE, TOCOPHEROL, BHA, BHT AQUA (WATER), PHYTIC ACID, SODIUM HYDROXIDE, PHENOXYETHANOL, ELLAGIC ACID, HYDROXYACETOPHENONE, XANTHAN GUM, GELLAN GUM</p>",DIBI Milano,Acid Infusion,"ACID INFUSION, Anti-Aging, Brightening",TRUE,Title,Default Title,NO-AGE-BIOACTIVATING-TREATMENT-A,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-bioactivating-treatment_1.jpg,1,No-Age Bioactivating Treatment*: Anti Aging Cream,active,Targeted acid renewal that refines texture and reveals brighter skin.,"[""Gently exfoliates for smoother surface texture"",""Boosts cell turnover for renewed radiance"",""Refines the look of pores"",""Preps skin for better serum absorption""]",Dull or Textured Skin
no-age-bioactivating-treatment-anti-aging-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-bioactivating-treatment_2.jpg,2,No-Age Bioactivating Treatment*: Anti Aging Cream,,,,
no-age-bioactivating-treatment-anti-aging-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-bioactivating-treatment_3.jpg,3,No-Age Bioactivating Treatment*: Anti Aging Cream,,,,
no-age-bioactivating-treatment-anti-aging-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-bioactivating-treatment_4.jpg,4,No-Age Bioactivating Treatment*: Anti Aging Cream,,,,
no-age-bioactivating-treatment-anti-aging-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-bioactivating-treatment_5.jpg,5,No-Age Bioactivating Treatment*: Anti Aging Cream,,,,
no-age-restructuring-cream-spf30-pa,No-Age Restructuring Cream* SPF30/PA++,"<p>No-Age Restructuring Cream* SPF30/PA++ from the ACID INFUSION collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>Apply to the face and neck during the day, massaging until fully absorbed.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">AQUA (WATER), DIBUTYL ADIPATE, POLYSORBATE 20, DIETHYLAMINO HYDROXYBENZOYL HEXYL BENZOATE, ETHYLHEXYL METHOXYCINNAMATE, CETEARYL ALCOHOL, ETHYLHEXYL SALICYLATE, PROPYLENE GLYCOL, ALUMINUM STARCH OCTENYLSUCCINATE, ETHOXYDIGLYCOL, LINSEED ACID, GLYCYRRHETINIC ACID, CETEARYL GLUCOSIDE, ETHYLHEXYL TRIAZONE, POTASSIUM CETYL PHOSPHATE, PHENOXYETHANOL, HYDROXYACETOPHENONE, PARFUM (FRAGRANCE), ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, TETRASODIUM EDTA, SODIUM HYDROXIDE, HYDROXYCITRONELLAL, BENZYL SALICYLATE, LIMONENE, CITRONELLOL, ALPHA-ISOMETHYL IONONE, HEXYL CINNAMAL, CAPRYLYL GLYCOL, CITRAL, ACETYL HEXAPEPTIDE-8</p>",DIBI Milano,Acid Infusion,"ACID INFUSION, Anti-Aging",TRUE,Title,Default Title,NO-AGE-RESTRUCTURING-CREAM-SPF30,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-restructuring-cream-spf30pa_1.jpg,1,No-Age Restructuring Cream* SPF30/PA++,active,Targeted acid renewal that refines texture and reveals brighter skin.,"[""Gently exfoliates for smoother surface texture"",""Boosts cell turnover for renewed radiance"",""Refines the look of pores"",""Preps skin for better serum absorption""]",Dull or Textured Skin
no-age-restructuring-cream-spf30-pa,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-restructuring-cream-spf30pa_2.jpg,2,No-Age Restructuring Cream* SPF30/PA++,,,,
no-age-restructuring-cream-spf30-pa,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-restructuring-cream-spf30pa_3.jpg,3,No-Age Restructuring Cream* SPF30/PA++,,,,
no-age-restructuring-cream-spf30-pa,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/no-age-restructuring-cream-spf30pa_4.jpg,4,No-Age Restructuring Cream* SPF30/PA++,,,,
peeling-night-cream-anti-aging-night-cream,Peeling Night Cream: Anti Aging Night Cream,"<p>Peeling Night Cream: Anti Aging Night Cream from the ACID INFUSION collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>Apply to the face and neck in the evening, massaging until fully absorbed. For more sensitive skin, apply on alternate evenings for the first week.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">AQUA (WATER), ISONONYL ISONONANOATE , ISOPROPYL PALMITATE, PYRUVIC ACID, CETEARYL ALCOHOL, PENTYLENE GLYCOL, ARACHIDYL ALCOHOL, SODIUM HYDROXIDE, BEHENYL ALCOHOL, PEG-20 STEARATE, PARFUM (FRAGRANCE), PHENOXYETHANOL, ARACHIDYL GLUCOSIDE, POTASSIUM CETYL PHOSPHATE , XANTHAN GUM, ALLANTOIN, HYDROXYETHYL ACRYLATE/SODIUM ACRYLOYLDIMETHYL TAURATE COPOLYMER, TETRASODIUM EDTA, POLYSORBATE 60, SQUALANE, TOCOPHERYL ACETATE, HYDROXYCITRONELLAL, BENZYL SALICYLATE, LIMONENE, CITRONELLOL, ALPHA-ISOMETHYL IONONE, HEXYL CINNAMAL, CITRAL</p>",DIBI Milano,Acid Infusion,ACID INFUSION,TRUE,Title,Default Title,PEELING-NIGHT-CREAM-ANTI-AGING-N,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/peeling-night-cream_1.jpg,1,Peeling Night Cream: Anti Aging Night Cream,active,Targeted acid renewal that refines texture and reveals brighter skin.,"[""Gently exfoliates for smoother surface texture"",""Boosts cell turnover for renewed radiance"",""Refines the look of pores"",""Preps skin for better serum absorption""]",Dull or Textured Skin
peeling-night-cream-anti-aging-night-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/peeling-night-cream_2.jpg,2,Peeling Night Cream: Anti Aging Night Cream,,,,
peeling-night-cream-anti-aging-night-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/peeling-night-cream_3.jpg,3,Peeling Night Cream: Anti Aging Night Cream,,,,
peeling-night-cream-anti-aging-night-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/peeling-night-cream_4.jpg,4,Peeling Night Cream: Anti Aging Night Cream,,,,
intense-biostimulant-cream,INTENSE BIOSTIMULANT CREAM,"<p>INTENSE BIOSTIMULANT CREAM from the BIOSTIMULATING SYSTEM LAB collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>Unlock the applicator by turning the base until clicked and press to dispense the product. Apply to face, neck and décolleté and massage until completely absorbed. Once opened, store the product in the refrigerator and use it within 8 days after opening. Exclusive external use. Not injectable. Store the product in a dry place, away from direct sources of light and heat. A possible color variation is to be considered normal and does not indicate an alteration of the product. Avoid contact with eyes. Keep out of the reach and sight of children. To be used by: see expiry date on the side of the package.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">AQUA (WATER), CAPRYLIC/CAPRIC TRIGLYCERIDE, ISONONYL ISONONANOATE , GLYCERIN, GLUCONOLACTONE, PROPANEDIOL, OCTYLDODECANOL, GLYCERYL GLUCOSIDE, GLYCERYL DIBEHENATE, CERA ALBA (BEESWAX), TRIBEHENIN, OCTYLDODECYL XYLOSIDE, PEG-30 DIPOLYHYDROXYSTEARATE, MAGNESIUM SULFATE, SODIUM HYDROXIDE, GLYCERYL BEHENATE, XANTHAN GUM, HYDROGENATED PALM OIL, SACCHAROMYCES/COPPER FERMENT, SACCHAROMYCES/IRON FERMENT, SACCHAROMYCES/MAGNESIUM FERMENT, SACCHAROMYCES/ZINC FERMENT, SACCHAROMYCES/SILICON FERMENT, LEUCONOSTOC/RADISH ROOT FERMENT FILTRATE, AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, SODIUM HYALURONATE</p>",DIBI Milano,Biostimulating System Lab,"BIOSTIMULATING SYSTEM LAB, Hydrating",TRUE,Title,Default Title,INTENSE-BIOSTIMULANT-CREAM,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/intense-biostimulant-cream_1.jpg,1,INTENSE BIOSTIMULANT CREAM,active,High-performance biostimulating actives engineered to revitalize cellular vitality.,"[""Reactivates skin's natural renewal processes"",""Restores tone and density"",""Visibly improves overall skin quality"",""Recommended after professional treatments""]",Tired or Devitalized Skin
intense-biostimulant-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/intense-biostimulant-cream_2.jpg,2,INTENSE BIOSTIMULANT CREAM,,,,
intense-biostimulant-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/intense-biostimulant-cream_3.jpg,3,INTENSE BIOSTIMULANT CREAM,,,,
intense-biostimulant-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/intense-biostimulant-cream_4.jpg,4,INTENSE BIOSTIMULANT CREAM,,,,
intense-biostimulant-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/intense-biostimulant-cream_5.jpg,5,INTENSE BIOSTIMULANT CREAM,,,,
biostimulating-eye-contour,Biostimulating Eye Contour,"<p>Biostimulating Eye Contour from the BIOSTIMULATING SYSTEM LAB collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>Open the applicator unscrewing the cap, apply approximately 0.2 ml of product once daily on the eye contour and massage until completely absorbed.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">AQUA (WATER), AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER, CAFFEINE, SODIUM HYALURONATE, AMINOBUTYRIC ACID</p>",DIBI Milano,Biostimulating System Lab,"BIOSTIMULATING SYSTEM LAB, Hydrating",TRUE,Title,Default Title,BIOSTIMULATING-EYE-CONTOUR,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/biostimulating-eye-contour_1.jpg,1,Biostimulating Eye Contour,active,High-performance biostimulating actives engineered to revitalize cellular vitality.,"[""Reactivates skin's natural renewal processes"",""Restores tone and density"",""Visibly improves overall skin quality"",""Recommended after professional treatments""]",Tired or Devitalized Skin
biostimulating-eye-contour,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/biostimulating-eye-contour_2.jpg,2,Biostimulating Eye Contour,,,,
biostimulating-eye-contour,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/biostimulating-eye-contour_3.jpg,3,Biostimulating Eye Contour,,,,
biostimulating-eye-contour,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/biostimulating-eye-contour_4.jpg,4,Biostimulating Eye Contour,,,,
double-biostimulating-programme-hyaluronic-acid,Double Biostimulating Programme: Hyaluronic Acid,"<p>Double Biostimulating Programme: Hyaluronic Acid from the BIOSTIMULATING SYSTEM LAB collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>Open the PURE SONICATED HA SOLUTION applicator and apply 0.5ml to the face, then massage until fully absorbed. The next day, follow up with the VIT C 30% applicator and continue on alternating evenings, for a total of 16 evenings. For best results, apply in the evenings. Once opened, store the product in the refrigerator and use within 8 days of openings. For external use only. Do not inject. Store the product in a dry place, away from sources of light and heat. Variations in colour are normal and do not indicate a change in the product. Avoid contact with the eyes. Keep out of reach of children.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">PURE SONICATED HA SOLUTION: AQUA, AMMONIUM ACRYLOYLDIMETHYLTAURATE/ VP COPOLYMER, SODIUM HYALURONATE VIT C 30% SOLUTION: AQUA, 3-O-ETHYL ASCORBIC ACID, PROPANEDIOL, HYDROXYETHYLCELLULOSE, SODIUM LACTATE, LACTIC ACID, DISODIUM EDTA</p>",DIBI Milano,Biostimulating System Lab,"BIOSTIMULATING SYSTEM LAB, Hydrating, Brightening",TRUE,Title,Default Title,DOUBLE-BIOSTIMULATING-PROGRAMME-,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/double-biostimulating-programme_1.jpg,1,Double Biostimulating Programme: Hyaluronic Acid,active,High-performance biostimulating actives engineered to revitalize cellular vitality.,"[""Reactivates skin's natural renewal processes"",""Restores tone and density"",""Visibly improves overall skin quality"",""Recommended after professional treatments""]",Tired or Devitalized Skin
double-biostimulating-programme-hyaluronic-acid,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/double-biostimulating-programme_2.jpg,2,Double Biostimulating Programme: Hyaluronic Acid,,,,
double-biostimulating-programme-hyaluronic-acid,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/double-biostimulating-programme_3.jpg,3,Double Biostimulating Programme: Hyaluronic Acid,,,,
double-biostimulating-programme-hyaluronic-acid,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/double-biostimulating-programme_4.jpg,4,Double Biostimulating Programme: Hyaluronic Acid,,,,
double-biostimulating-programme-hyaluronic-acid,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/double-biostimulating-programme_5.jpg,5,Double Biostimulating Programme: Hyaluronic Acid,,,,
bio-fermented-collagen-eye-and-lip-contour-cream,BIO-FERMENTED COLLAGEN EYE AND LIP CONTOUR CREAM,"<p>BIO-FERMENTED COLLAGEN EYE AND LIP CONTOUR CREAM from the COLLAGE SYSTEM LAB collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>Apply and massage onto the eye and lip contour. Avoid contact with eyes.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">AQUA (WATER), BUTYROSPERMUM PARKII (SHEA) BUTTER, SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL, PENTYLENE GLYCOL, SORBITAN OLIVATE, CETYL PALMITATE, SORBITAN PALMITATE, BUTYLENE GLYCOL, GLYCERIN, CETEARYL OLIVATE, PYRUS MALUS (APPLE) FRUIT EXTRACT, JOJOBA ESTERS, CAFFEINE, HYDROGENATED LECITHIN, HYDROXYACETOPHENONE, TOCOPHERYL ACETATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX, SILICA, XANTHAN GUM, PROPANEDIOL, PHOSPHOLIPIDS, LACTOBACILLUS FERMENT, CI 77891 (TITANIUM DIOXIDE), SODIUM PCA, SODIUM HYDROXIDE, PHYTIC ACID, ERYTHRITOL, ACACIA DECURRENS FLOWER WAX, POLYGLYCERIN-3, CHONDRUS CRISPUS, 1,2-HEXANEDIOL, GENTIANA LUTEA ROOT EXTRACT, SOLUBLE COLLAGEN, CI 77491 (IRON OXIDES), OLIGOPEPTIDE-1</p>",DIBI Milano,Collage System Lab,"COLLAGE SYSTEM LAB, Anti-Aging",TRUE,Title,Default Title,BIO-FERMENTED-COLLAGEN-EYE-AND-L,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/bio-fermented-collagen-eye-and-lip-contour-cream_1.jpg,1,BIO-FERMENTED COLLAGEN EYE AND LIP CONTOUR CREAM,active,"Collagen-targeting system lab formulated for visibly firmer, plumper skin.","[""Supports collagen-rich skin structure"",""Plumps the look of fine lines"",""Improves skin firmness over time"",""Layers seamlessly under daily routines""]",Mature or Loss-of-Firmness Skin
bio-fermented-collagen-eye-and-lip-contour-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/bio-fermented-collagen-eye-and-lip-contour-cream_2.jpg,2,BIO-FERMENTED COLLAGEN EYE AND LIP CONTOUR CREAM,,,,
bio-fermented-collagen-eye-and-lip-contour-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/bio-fermented-collagen-eye-and-lip-contour-cream_3.jpg,3,BIO-FERMENTED COLLAGEN EYE AND LIP CONTOUR CREAM,,,,
bio-fermented-collagen-cream,BIO-FERMENTED COLLAGEN CREAM,"<p>BIO-FERMENTED COLLAGEN CREAM from the COLLAGE SYSTEM LAB collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>Apply and massage onto face, neck and décolleté.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">AQUA (WATER), CAPRYLIC/CAPRIC TRIGLYCERIDE, C12-15 ALKYL BENZOATE, TRITICUM VULGARE (WHEAT) GERM OIL, CETEARYL ALCOHOL, BUTYROSPERMUM PARKII (SHEA) BUTTER, DIMETHICONE, GLYCERIN, ETHYLHEXYL STEARATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, GLYCERYL STEARATE, JOJOBA ESTERS, SODIUM STEAROYL GLUTAMATE, PHENOXYETHANOL, SILICA, BUTYLENE GLYCOL, PYRUS MALUS (APPLE) FRUIT EXTRACT, GLYCERYL DIBEHENATE, CELLULOSE, HYDROXYACETOPHENONE, SODIUM POLYACRYLATE, HELIANTHUS ANNUUS (SUNFLOWER) SEED WAX, TRIBEHENIN, CI 77891 (TITANIUM DIOXIDE), POLYSILICONE-11, GLYCERYL BEHENATE, PHOSPHOLIPIDS, TETRASODIUM EDTA, LACTOBACILLUS FERMENT, HYDROGENATED LECITHIN, CASSIA ANGUSTIFOLIA SEED POLYSACCHARIDE, COCOS NUCIFERA (COCONUT) OIL, VITIS VINIFERA (GRAPE) SEED OIL, LECITHIN, POLYGLYCERIN-3, CI 77491 (IRON OXIDES), TOCOPHEROL, 1,2-HEXANEDIOL, HYDROXYETHYLCELLULOSE, SOLUBLE COLLAGEN, ASCORBYL PALMITATE, DECYL GLUCOSIDE, CAPRYLYL GLYCOL, HEXYLENE GLYCOL, CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT, GARDENIA TAITENSIS FLOWER EXTRACT, CITRIC ACID, OLIGOPEPTIDE-1</p>",DIBI Milano,Collage System Lab,"COLLAGE SYSTEM LAB, Anti-Aging, Brightening",TRUE,Title,Default Title,BIO-FERMENTED-COLLAGEN-CREAM,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/bio-fermented-collagen-cream_1.jpg,1,BIO-FERMENTED COLLAGEN CREAM,active,"Collagen-targeting system lab formulated for visibly firmer, plumper skin.","[""Supports collagen-rich skin structure"",""Plumps the look of fine lines"",""Improves skin firmness over time"",""Layers seamlessly under daily routines""]",Mature or Loss-of-Firmness Skin
bio-fermented-collagen-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/bio-fermented-collagen-cream_2.jpg,2,BIO-FERMENTED COLLAGEN CREAM,,,,
bio-fermented-collagen-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/bio-fermented-collagen-cream_3.jpg,3,BIO-FERMENTED COLLAGEN CREAM,,,,
double-biostimulating-collagen-programme,Double Biostimulating Collagen Programme,"<p>Double Biostimulating Collagen Programme from the COLLAGE SYSTEM LAB collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>After cleansing, morning and evening, apply 1 ml of BIOFERMENTED COLLAGEN SOLUTION (equal to four product applications) to the face, neck and décolletage. To be used for 15 consecutive days. Then continue for the next 15 days with OLIGOPEPTIDE I + BIOFERMENTED COLLAGEN SOLUTION. Unscrew the nozzle and replace the inner bottle. After cleansing, morning and evening, apply 1 ml of OLIGOPEPTIDE I + BIOFERMENTED COLLAGEN SOLUTION (equal to four product applications) to the face, neck and décolletage.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">AQUA (WATER), C10-18 TRIGLYCERIDES, CAPRYLIC/CAPRIC TRIGLYCERIDE, POLYGLYCERYL-6 DISTEARATE, CETEARYL ALCOHOL, DIMETHICONE, PHENOXYETHANOL, BUTYLENE GLYCOL, ORYZA SATIVA (RICE) BRAN OIL, SODIUM HYALURONATE, JOJOBA ESTERS, SODIUM POLYACRYLATE, HYDROXYACETOPHENONE, POLYMETHYLSILSESQUIOXANE, GLYCERIN, SESAMUM INDICUM (SESAME) SEED OIL, CETYL ALCOHOL, POLYGLYCERYL-3 BEESWAX, TETRASODIUM EDTA, XANTHAN GUM, 1,2-HEXANEDIOL, SOLUBLE COLLAGEN, OLIGOPEPTIDE-1</p>",DIBI Milano,Collage System Lab,"COLLAGE SYSTEM LAB, Hydrating, Anti-Aging",TRUE,Title,Default Title,DOUBLE-BIOSTIMULATING-COLLAGEN-P,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/double-biostimulating-collagen-programme_1.jpg,1,Double Biostimulating Collagen Programme,active,"Collagen-targeting system lab formulated for visibly firmer, plumper skin.","[""Supports collagen-rich skin structure"",""Plumps the look of fine lines"",""Improves skin firmness over time"",""Layers seamlessly under daily routines""]",Mature or Loss-of-Firmness Skin
double-biostimulating-collagen-programme,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/double-biostimulating-collagen-programme_2.jpg,2,Double Biostimulating Collagen Programme,,,,
double-biostimulating-collagen-programme,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/double-biostimulating-collagen-programme_3.jpg,3,Double Biostimulating Collagen Programme,,,,
double-biostimulating-collagen-programme,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/double-biostimulating-collagen-programme_4.jpg,4,Double Biostimulating Collagen Programme,,,,
