Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Metafield: custom.tagline [single_line_text_field],Metafield: custom.key_benefits [list.single_line_text_field],Metafield: custom.best_for [single_line_text_field]
2-in-1-deluxe-baume-for-neck-decollete-eyes-lips,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/2-in-1-deluxe-baume-neck-decollete-eyes-lips_4.jpg,4,2 in 1 Deluxe Baume for Neck-Decollete-Eyes-Lips,,,,
day-and-night-youth-impulse-cream-anti-aging,Day and Night Youth Impulse Cream: Anti Aging,"<p>Day and Night Youth Impulse Cream: Anti Aging from the CREAM AND SERUM ANTI AGING AGE METHOD collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>Apply to face, neck and decolleté. Repeat morning and evening.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">AQUA (WATER), BUTYLENE GLYCOL, OLUS OIL (VEGETABLE OIL), PALMITIC ACID, STEARIC ACID, BUTYROSPERMUM PARKII (SHEA BUTTER), GLYCERIN, C12-15 ALKYL BENZOATE, DIMETHICONE, ISONONYL ISONONANOATE, HDI/TRIMETHYLOL HEXYLLACTONE CROSSPOLYMER, CETYL ALCOHOL, COCOGLYCERIDES, PHENOXYETHANOL, POLYSORBATE 60, ERUCA SATIVA LEAF EXTRACT, SODIUM HYDROXIDE, ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER, CI 77163 (BISMUTH OXYCHLORIDE), ETHYLHEXYLGLYCERIN, ETHYLHEXYL HYDROXYSTEARATE, TETRASODIUM EDTA, CALENDULA OFFICINALIS FLOWER EXTRACT, SODIUM DEHYDROACETATE, PARFUM (FRAGRANCE), CITRIC ACID, SILICA, PALMITOYL TRIPEPTIDE-5, SODIUM BENZOATE, LINALOOL, LIMONENE, POTASSIUM SORBATE, COUMARIN, CI 19140 (YELLOW 5), CI 16035 (RED 40), CI 15985 (YELLOW 6), CI 42090 (BLUE 1)</p>",DIBI Milano,Cream And Serum Anti Aging Age Method,"CREAM AND SERUM ANTI AGING AGE METHOD, Anti-Aging",TRUE,Title,Default Title,DAY-AND-NIGHT-YOUTH-IMPULSE-CREA,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/day-and-night-youth-impulse-cream_1.jpg,1,Day and Night Youth Impulse Cream: Anti Aging,active,Advanced formulation targeting visible signs of aging with clinically-proven active ingredients.,"[""Deeply hydrates and plumps skin for a youthful appearance"",""Reduces the appearance of fine lines and wrinkles"",""Strengthens skin barrier for improved resilience"",""Enhances natural radiance and even skin tone""]",All Skin Types
day-and-night-youth-impulse-cream-anti-aging,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/day-and-night-youth-impulse-cream_2.jpg,2,Day and Night Youth Impulse Cream: Anti Aging,,,,
day-and-night-youth-impulse-cream-anti-aging,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/day-and-night-youth-impulse-cream_3.jpg,3,Day and Night Youth Impulse Cream: Anti Aging,,,,
day-and-night-youth-impulse-cream-anti-aging,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/day-and-night-youth-impulse-cream_4.jpg,4,Day and Night Youth Impulse Cream: Anti Aging,,,,
concentrated-youth-capsules-anti-aging-cream,Concentrated Youth Capsules: Anti Aging Cream,"<p>Concentrated Youth Capsules: Anti Aging Cream from the CREAM AND SERUM ANTI AGING AGE METHOD collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>Apply to the face before your usual cream, day and night. Hold the capsule between your fingers in an upright position, remove the top of the capsule by twisting it. Dispense the contents evenly on the various areas of your face and rub it in until fully absorbed. After use, dispose of the empty capsule with unsorted waste.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">ISODODECANE, NEOPENTYL GLYCOL DIHEPTANOATE, DIMETHICONE CROSSPOLYMER, SILICA, CAPRYLIC/CAPRIC TRIGLYCERIDE, ETHYLHEXYL PALMITATE, CITRONELLYL METHYLCROTONATE, CI77891 (TITANIUM DIOXIDE), OLEYL ALCOHOL , TOCOPHEROL, AQUA (WATER), ZANTHOXYLUM BUNGEANUM FRUIT EXTRACT , PARFUM (FRAGRANCE), CI 77491 (IRON OXIDE), SPILANTHES ACMELLA FLOWER EXTRACT, SILICA DIMETHYL SILYLATE, LAVANDULA STOECHAS EXTRACT, BUTYLENE GLYCOL, CALENDULA OFFICINALIS FLOWER EXTRACT, CAPRYLYL GLYCOL, PHENOXYETHANOL, LINALOOL, LIMONENE, SODIUM HYALURONATE , COUMARIN, HEXYLENE GLYCOL, ETHYLHEXYLGLYCERIN..</p>",DIBI Milano,Cream And Serum Anti Aging Age Method,"CREAM AND SERUM ANTI AGING AGE METHOD, Hydrating",TRUE,Title,Default Title,CONCENTRATED-YOUTH-CAPSULES-ANTI,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/concentrated-youth-capsules_1.jpg,1,Concentrated Youth Capsules: Anti Aging Cream,active,Advanced formulation targeting visible signs of aging with clinically-proven active ingredients.,"[""Deeply hydrates and plumps skin for a youthful appearance"",""Reduces the appearance of fine lines and wrinkles"",""Strengthens skin barrier for improved resilience"",""Enhances natural radiance and even skin tone""]",All Skin Types
concentrated-youth-capsules-anti-aging-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/concentrated-youth-capsules_2.jpg,2,Concentrated Youth Capsules: Anti Aging Cream,,,,
concentrated-youth-capsules-anti-aging-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/concentrated-youth-capsules_3.jpg,3,Concentrated Youth Capsules: Anti Aging Cream,,,,
concentrated-youth-capsules-anti-aging-cream,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/concentrated-youth-capsules_4.jpg,4,Concentrated Youth Capsules: Anti Aging Cream,,,,
youth-cream-mask-anti-aging-face-mask,Youth Cream Mask: Anti Aging Face Mask,"<p>Youth Cream Mask: Anti Aging Face Mask from the CREAM AND SERUM ANTI AGING AGE METHOD collection, available through DIBI Milano Skin Center Colombo.</p><h3>Directions for Use</h3><p>Apply to the face and allow to set for 15/20 minutes, then rinse. If necessary, remove residue with a damp cloth. Recommended as an intensive, weekly treatment, ideal in any season.</p><h3>Ingredients</h3><p style=""font-family: monospace; font-size: 0.875rem;"">AQUA (WATER), C12-15 ALKYL BENZOATE, GLYCERIN, CAPRYLIC/CAPRIC TRIGLYCERIDE, GLYCERYL STEARATE, PEG-100 STEARATE, ORYZA SATIVA (RICE) STARCH, CETEARYL ALCOHOL, BUTYROSPERMUM PARKII (SHEA) BUTTER, CI 77891 (TITANIUM DIOXIDE), GLYCERYL GLUCOSIDE, PHENOXYETHANOL, HYDROXYACETOPHENONE, PARFUM (FRAGRANCE), MAGNESIUM ALUMINUM SILICATE, CETEARYL OLIVATE, ERUCA SATIVA LEAF EXTRACT, SORBITAN OLIVATE, TETRASODIUM EDTA, SODIUM DEHYDROACETATE, SORBITAN TRIOLEATE, LECITHIN, CALENDULA OFFICINALIS FLOWER EXTRACT, CITRIC ACID, LINALOOL, LIMONENE, COUMARIN, TOCOPHEROL, ASCORBYL PALMITATE, PALMITOYL TRIPEPTIDE-5, ETHYLHEXYLGLYCERIN, SODIUM BENZOATE, APIUM GRAVEOLENS (CELERY) SEED EXTRACT, LINUM USITATISSIMUM (LINSEED) SEED EXTRACT, POTASSIUM SORBATE</p>",DIBI Milano,Cream And Serum Anti Aging Age Method,"CREAM AND SERUM ANTI AGING AGE METHOD, Anti-Aging, Brightening",TRUE,Title,Default Title,YOUTH-CREAM-MASK-ANTI-AGING-FACE,50,shopify,0,deny,manual,1.00,TRUE,TRUE,https://raw.githubusercontent.com/sharu28/dibi-milano-skin-center/main/public/product-images/youth-cream-mask_1.jpg,1,Youth Cream Mask: Anti Aging Face Mask,active,Advanced formulation targeting visible signs of aging with clinically-proven active ingredients.,"[""Deeply hydrates and plumps skin for a youthful appearance"",""Reduces the appearance of fine lines and wrinkles"",""Strengthens skin barrier for improved resilience"",""Enhances natural radiance and even skin tone""]",All Skin Types
